"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
531203,"BRAND REAL  ","B ","Q",32.1,32.1,30.5,30.5,30.5,31.25,6,200,6260,,"17-02-2014"
531206,"KWALITY CRED","T ","Q",97.75,97.75,97.75,97.75,97.75,93.1,4,110,10752,,"17-02-2014"
531209,"NUCLE.SOFT E","B ","Q",175,177.4,171.1,172.75,172.75,173.35,514,14969,2590934,,"17-02-2014"
531213,"MANAP FIN   ","B ","Q",23,23.85,22.7,23.55,23.55,22.6,3805,754896,17553968,,"17-02-2014"
531215,"RTS POWER CO","B ","Q",13.31,13.36,13.31,13.36,13.36,14,6,160,2134,,"17-02-2014"
531216,"COMFORT INTE","B ","Q",2.03,2.03,1.72,1.78,1.78,1.91,124,68635,127245,,"17-02-2014"
531217,"WEST.(I)SHIP","T ","Q",2,2.01,1.83,1.83,1.83,1.92,39,47542,88169,,"17-02-2014"
531225,"FRONTIER INF","T ","Q",0.94,0.94,0.94,0.94,0.94,0.93,4,1325,1245,,"17-02-2014"
531228,"RANDER CORP.","B ","Q",64.6,66.5,64.4,64.9,66,64.6,523,370800,24052345,,"17-02-2014"
531233,"RASI ELECTRO","T ","Q",34,34,33,34,34,34,343,50013,1699967,,"17-02-2014"
531241,"LINC PEN &PL","B ","Q",44.8,45.4,44.5,45.25,45.4,44.75,31,728,32614,,"17-02-2014"
531247,"ALPHA HI-TEC","B ","Q",0.6,0.6,0.6,0.6,0.6,0.58,2,366,219,,"17-02-2014"
531252,"FARRY IND.  ","T ","Q",10.84,11.95,10.84,11.86,10.84,11.41,47,36996,428181,,"17-02-2014"
531253,"INDIA GELAT.","B ","Q",62.2,62.2,60,60.6,60,61.6,49,1760,107830,,"17-02-2014"
531254,"TRANSPEK FIN","B ","Q",4.35,4.35,4.35,4.35,4.35,4.15,1,20,87,,"17-02-2014"
531257,"PRATIKSHA CH","B ","Q",2.42,2.42,2.42,2.42,2.42,2.54,1,501,1212,,"17-02-2014"
531259,"ESHAMEDIA   ","T ","Q",34.6,34.6,34.6,34.6,34.6,34.6,1,9,311,,"17-02-2014"
531262,"SURYA IND.CO","T ","Q",10.3,10.77,10.3,10.75,10.75,10.26,19,6008,64573,,"17-02-2014"
531266,"VST TILLERS ","B ","Q",807.1,848,807,835.15,840,798.65,1739,13111,10895832,,"17-02-2014"
531272,"NIKKI GLOBAL","B ","Q",569,569.25,555,555.2,555.2,580.25,321,61695,34764330,,"17-02-2014"
531273,"RADHE DEVLOP","T ","Q",8.32,8.35,8.32,8.32,8.32,8.75,11,1570,13084,,"17-02-2014"
531276,"BOM.SWA.STOR","B ","Q",24.15,24.15,24.15,24.15,24.15,25.4,1,10,241,,"17-02-2014"
531278,"AXIS CAPITAL","T ","Q",28.45,28.5,26,26.1,26.1,27.15,19,701,19178,,"17-02-2014"
531280,"PANKAJ POLY.","T ","Q",8.5,8.5,8.5,8.5,8.5,8.92,1,25,212,,"17-02-2014"
531295,"SUNLAKE     ","T ","Q",1.39,1.39,1.39,1.39,1.39,1.33,1,100,139,,"17-02-2014"
531300,"AMIT INTNL. ","T ","Q",6.6,6.6,6.6,6.6,6.6,6.32,1,20,132,,"17-02-2014"
531301,"HIGH STREET ","T ","Q",33.05,33.05,33.05,33.05,33.05,31.5,1,2,66,,"17-02-2014"
531306,"DHP INDIA LT","B ","Q",33.25,33.25,33.25,33.25,33.25,31.7,28,3750,124687,,"17-02-2014"
531307,"SRK INDUS   ","B ","Q",72.1,72.65,72,72.25,72.25,72.2,384,230730,16666838,,"17-02-2014"
531310,"AVAILABLE FI","T ","Q",23.3,23.3,23.3,23.3,23.3,24.5,3,500,11650,,"17-02-2014"
531320,"EXOTICCOAL  ","B ","Q",4.72,4.72,4.72,4.72,4.72,4.5,2,200,944,,"17-02-2014"
531323,"SANTARAM SPN","B ","Q",3.07,3.1,3.07,3.1,3.1,3.23,8,4574,14116,,"17-02-2014"
531324,"ROSELABS FIN","B ","Q",14.9,14.9,14.9,14.9,14.9,14.2,1,75,1117,,"17-02-2014"
531335,"ZYDUS WELL  ","B ","Q",480,482,471.1,475.2,471.1,475.5,256,1177,562596,,"17-02-2014"
531337,"IRISMEDIA   ","T ","Q",3.04,3.04,3.04,3.04,3.04,2.9,8,3400,10336,,"17-02-2014"
531339,"JAIHIND PROJ","B ","Q",13.7,14.44,13.7,14.44,14.44,14.13,5,250,3462,,"17-02-2014"
