"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
532808,"PGIL        ","T ","Q",155,155,154,155,155,155.25,33,900,139400,,"14-02-2014"
532809,"FSL         ","B ","Q",28.2,29.15,28.15,29,29,27.95,4511,1402209,40377124,,"14-02-2014"
532810,"POWER FINAN ","A ","Q",145.15,147.8,143.6,146,146,145.65,2639,153120,22340588,,"14-02-2014"
532811,"AHLUWALIA CO","B ","Q",24.95,24.95,24.3,24.3,24.3,24.85,2,2,49,,"14-02-2014"
532812,"TRANSWARRANT","T ","Q",5.25,5.25,4.77,4.77,4.77,5,11,1000,4794,,"14-02-2014"
532813,"C & C CONSTR","B ","Q",27.95,27.95,25,26.25,26.25,25.95,16,381,9653,,"14-02-2014"
532814,"INDIAN BANK ","A ","Q",94.95,95.3,92.2,93,93,94.55,401,27702,2589839,,"14-02-2014"
532815,"SMS PHARMACE","B ","Q",209,215,205,210,215,214,69,3948,828361,,"14-02-2014"
532816,"BROADCAST   ","T ","Q",4.29,4.72,4.29,4.35,4.72,4.51,7,2652,11455,,"14-02-2014"
532817,"ORIENTAL    ","T ","Q",2.08,2.28,2.08,2.28,2.28,2.18,3,708,1474,,"14-02-2014"
532819,"MINDTREE LTD","B ","Q",1662.2,1690.7,1644,1681.8,1685,1675.15,1412,9634,16114542,,"14-02-2014"
532820,"MUDRA       ","B ","Q",7.4,7.4,7.26,7.35,7.35,7.8,23,1160,8573,,"14-02-2014"
532821,"INDUSFILA   ","B ","Q",2.48,2.48,2.4,2.4,2.4,2.37,6,4595,11035,,"14-02-2014"
532822,"IDEA CELL   ","A ","Q",132.5,139.15,131.4,132.5,132.5,131.45,9915,790036,106426782,,"14-02-2014"
532823,"EURO CERAMIC","B ","Q",4,4.41,4,4.41,4.41,4.21,6,700,2861,,"14-02-2014"
532824,"VTX IND     ","T ","Q",6.3,6.35,6.3,6.31,6.31,6.6,6,1250,7886,,"14-02-2014"
532826,"RAJ TELE    ","B ","Q",530,540,528.25,535.1,535.1,530.2,1800,80547,42724686,,"14-02-2014"
532827,"PAGE INDUSTR","B ","Q",5699.95,5699.95,5600.15,5631.35,5669.95,5634.75,165,321,1810901,,"14-02-2014"
532828,"AMD INDUS   ","B ","Q",12.3,12.31,12.25,12.3,12.31,12.69,6,250,3071,,"14-02-2014"
532829,"LAWRESHWAR  ","B ","Q",6.3,6.3,6.08,6.1,6.1,6.3,13,1025,6252,,"14-02-2014"
532830,"ASTRAL POLY ","B ","Q",390.15,397.9,387,390.85,390.85,391.45,451,2711,1064165,,"14-02-2014"
532831,"ABHI CORP LT","T ","Q",4.95,4.95,4.95,4.95,4.95,5.21,1,100,495,,"14-02-2014"
532832,"INDBUL REAL ","A ","Q",47.25,47.6,46.1,47.2,47.2,47.05,3810,890991,41832710,,"14-02-2014"
532834,"CAMLIN FINE ","B ","Q",23.8,24.8,23.75,24.55,24.65,23.95,195,13023,318964,,"14-02-2014"
532835,"ICRA        ","B ","Q",1555.05,1569.95,1540,1546.5,1549.9,1564.25,73,100,154804,,"14-02-2014"
532836,"SANCIA GLOB ","T ","Q",0.63,0.64,0.63,0.64,0.64,0.64,6,20000,12750,,"14-02-2014"
532837,"ORBITCO     ","B ","Q",15.2,15.5,14.75,14.85,14.75,15.15,366,74380,1117205,,"14-02-2014"
532839,"DISH TV     ","A ","Q",46.5,46.5,45.15,45.75,45.85,45.65,780,111726,5098785,,"14-02-2014"
532840,"ADVANTA     ","B ","Q",105.2,106.45,104.5,105.95,106.45,105.55,325,4660,491664,,"14-02-2014"
532841,"SAHYA INDU  ","B ","Q",32.1,32.1,31.8,31.8,31.8,33.45,21,1301,41463,,"14-02-2014"
532842,"SREE RAYALA ","B ","Q",18.6,20,17.1,17.1,17.1,18.95,166,20496,355998,,"14-02-2014"
